"uid","Intervention","Intervention Provider","Target Population","Target Population Location","Discipline","Research Stage","Outcome Measures"
"scopus-unknown-accession-7284737","Centralised sharing platform","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-unknown-accession-737370","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Effect size estimation"
"scopus-unknown-accession-7537605","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
"scopus-unknown-accession-8041659","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Social sciences","Assessment","Reporting bias"
"scopus-unknown-accession-81051","Training community","Institution","Researchers / Researcher Collaboration","Middle East","Biomedical and health sciences","Conduct stage","Unspecified"
"scopus-unknown-accession-8233022","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-unknown-accession-8260721","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-unknown-accession-8605651","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-unknown-accession-8775937","Experimental design","Researchers / Researcher Collaboration","Students","Iraq","Social sciences","Conduct stage","Effect size estimation"
"scopus-unknown-accession-9174991","Other quality checks / feedback","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Reporting quality"
"scopus-unknown-accession-9504443","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-unknown-accession-9666462","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Korea","Natural sciences","Conduct stage","Effect size estimation"
"unknown-1266","Workflow standardisation","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"wos-000175175500006","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Computational reproducibility"
"wos-000241155300077","Data sharing policy/guideline","Unspecified","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Unspecified","Data availability and re-use"
"wos-000241849600004","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"wos-000257339000006","Centralised sharing platform","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Engineering and technology","Conduct stage","Data availability and re-use"
"wos-000364474900001","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Computational reproducibility"
"wos-000382673500005","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Effect size estimation"
"wos-000386471400001","Other peer review process","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"wos-000412567000023","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"wos-000477639800001","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage","Computational reproducibility"
"wos-000493051600006","Other quality checks / feedback","Institution","Researchers / Researcher Collaboration","United Kingdom","Social sciences","Assessment","Computational reproducibility"
"wos-000551185600016","Open science infrastructure","Institution","Researchers / Researcher Collaboration","Austria","Natural sciences; Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Data availability and re-use; Computational reproducibility"
"wos-000607038100003","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"wos-000640575800023","Open science infrastructure","Institution","Teachers / Educators","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
"wos-000710970800001","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Computational reproducibility"
"wos-000761238200004","Other peer review process","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"wos-000787868200015","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"wos-000799469900001","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Conduct stage","Data availability and re-use"
"wos-000984605100012","Behavioral intervention","Government","Citizens","Brazil","Social sciences","Conduct stage","Data availability and re-use"
"wos-001097734800007","Open science infrastructure","Institution","Teachers","Unspecified","Natural sciences; Social sciences","Conduct stage","Competence development"
"embase-2000608414","Data sharing policy/guideline","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"embase-2000730462","ICMJE guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"embase-2001775959","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage","Computational reproducibility"
"embase-2001869923","Experimental design","Institution","Students","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation"
"embase-2001950887","Data management training","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"embase-2001956578","Workflow standardisation","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"embase-2001995645","Experimental design","Researchers / Researcher Collaboration","Students","United States","Biomedical and health sciences; Social sciences","Conduct stage","Effect size estimation"
"embase-2002113928","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Reporting quality; Effect size estimation"
