"uid","Target Population","Intervention Provider","Discipline","Intervention","Outcome Measures","Research Stage","Target Population Location"
"medline-38046400","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Engineering and technology; Biomedical and health sciences","Other quality checks / feedback","Reporting quality","Assessment","Unspecified"
"medline-38048895","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Engineering and technology; Biomedical and health sciences","Open data badges; Open code badges","Data availability and re-use; Code / analysis availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","Unspecified"
"medline-38053191","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data access policies / agreements","Data availability and re-use","Conduct stage","Unspecified"
"medline-38054868","Other","Government","Social sciences","Other","Type I/II error reduction","Assessment","Italy"
"medline-38063168","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-38064177","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Type I/II error reduction","Conduct stage","Unspecified"
"medline-38070153","Researchers / Researcher Collaboration","Other","Natural sciences","Data sharing policy/guideline","Data availability and re-use","Reporting stage","Unspecified"
"medline-38082357","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage; Reporting stage","Unspecified"
"medline-38083130","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"medline-38087062","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open science infrastructure","Data availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","Unspecified"
"medline-38096136","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","PRISMA guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-38108640","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","Other","Reporting quality","Reporting stage","Unspecified"
"medline-38113414","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage; Reporting stage","Unspecified"
"medline-38117219","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Materials sharing policy/guideline","Materials availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"medline-38132070","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-38135944","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Engineering and technology; Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"medline-38151528","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Computational reproducibility","Conduct stage","Switzerland"
"medline-38152352","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Other","Conduct stage","United States"
"medline-38158214","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","Other","Reporting quality","Reporting stage","Unspecified"
"medline-38166017","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"medline-38167901","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline; Open science infrastructure","Data availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","United States"
"medline-38172860","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Other","Transparency of contributions; Reporting quality","Conduct stage; Reporting stage","Uganda"
"medline-38174124","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Unspecified"
"medline-38175395","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"medline-38181037","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","Other quality checks / feedback","Reporting quality","Reporting stage","Unspecified"
"medline-38183193","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open science infrastructure","Data availability and re-use; Other","Conduct stage","Unspecified"
"medline-38184529","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality; Computational reproducibility","Reporting stage","Unspecified"
"medline-38185767","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences","Experimental design","Type I/II error reduction","Conduct stage","Spain"
"medline-38200587","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other","Computational reproducibility","Conduct stage; Reporting stage","Unspecified"
"medline-38225565","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Computational reproducibility","Conduct stage","Unspecified"
"medline-38225802","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Statistical method","Computational reproducibility","Conduct stage","Unspecified"
"medline-3927711","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Type I/II error reduction; Reporting quality","Conduct stage","United States"
